Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
246.35,7.6,1.95,-1.55,32.34,28.61,-5.562,-1.456,3.509,0.850219191,,93.6802922,93.6802922,91.7764
152.18,7.8,0.01,-2.3,53.07,14.04,-5.031,-2.833,3.932,1.395814377,,91.63567471,91.4143121,87.88288
211.26,8.84,0.21,-1.5,72.72,23.12,-5.724,-1.274,3.499,0.786741573,,85.87616223,85.87616223,87.3345
309.4,8.3,3.93,-4.7,20.31,36.29,-4.983,-1.79,3.3865,1.131694331,,93.4398122,93.23171947,92.50538
149.23,9.5,2.07,-2.2,12.03,18.04,-5.605,-1.37,3.4875,0.829397875,,90.07663158,92.35952745,88.2528
261.39,8.85,2.87,-2.64,19.37,29.54,-5.076,-1.696,3.386,1.069230769,,95.66238061,95.69702376,94.0499
250.29,2.5,3.17,-3.8,32.67,27.32,-5.894,-2.207,4.0505,0.799972878,,90.58296777,90.54848996,89.21502
198.22,8.2,1.15,1.15,1.15,19.6,-6.581,-2.33,4.4555,0.598565044,,95.54223143,96.31464782,88.3154
236.3,7.3,0.13,-1.83,105.19,20.99,-6.393,-3.206,4.7995,0.690461249,,92.75687005,92.70246017,90.97684
140.19,4.9,0.39,0.74,12.96,14.25,-5.338,6.799,-0.7305,0.63693664,,86.05586698,84.9495464,86.6756
380.4,2.8,1.22,-3.1,105.17,37.27,-5.975,-2.147,4.061,0.767763845,,86.47805413,86.48145025,86.56108
233.31,8.8,2.25,-3.1,38.33,26.21,-5.613,-1.624,3.6185,0.847706192,,90.07968828,90.40304845,92.7681
183.25,12,0.78,-1.2,46.17,19.95,-5.92,-1.605,3.7625,0.750289687,,81.15210023,81.3408241,85.1645
353.5,6.6,1.82,-3.2,57.5,40.41,-5.311,-2.295,3.803,1.060013263,,92.08544372,92.08336361,91.45982
267.36,9.7,2.15,-2.8,50.72,31.9,-5.584,-1.571,3.5775,0.852853227,94,92.54308731,92.46939867,91.4945
454.4,4.7,-0.24,-3.4,210.54,44.54,-5.381,-2.885,4.133,1.148637821,,91.74826875,92.66601003,91.59302
211.26,9.2,0.57,-1.4,64.71,22.79,-5.06,-1.317,3.1885,1.018300828,,88.41659225,88.41659225,87.902
171.15,2.6,-0.02,-1.5,83.87,15.82,-6.69,-3.179,4.9345,0.588293933,80,91.77551344,91.9966973,88.121
457.5,2.3,-3.3,-2.2,164.63,45.9,-5.324,-3.42,4.372,1.380252101,,87.68268711,88.25588834,90.8276
276.37,6.9,2.04,-2.8,45.33,32,-5.347,-1.571,3.459,0.937764831,,92.80162091,92.72793228,92.9013
414.5,2.7,2.29,-4.4,95.94,42.22,-6.083,-2.998,4.5405,0.797244733,,91.66079854,91.70121917,90.1516
311.4,7.8,1.68,-2.4,52.93,33.3,-5.346,-1.38,3.363,0.917044881,,94.18812854,94.12272048,91.05704
327.4,7.94,1.62,-1.8,70,33.8,-5.465,-1.717,3.591,0.909551761,,90.24967021,90.31470846,89.12494
230.26,4.2,3.18,-4.16,46.53,24.81,-5.645,-2.515,4.08,0.932907348,93.14,93.15813314,93.15813314,93.30464
122.12,3.35,-0.37,0.61,55.98,11.71,-6.091,-2.565,4.328,0.757799206,93.6,93.49042846,93.49042846,90.0443
281.27,10.8,2.25,-3.8,87.28,27.59,-6.638,-3.765,5.2015,0.626000696,,90.35637787,90.63050069,87.98914
238.16,7.2,-0.47,-2.8,118.05,20.49,-6.456,-3.951,5.2035,0.717165669,97.6,97.55106131,97.55106131,94.4401
612.6,4.3,3.26,-4.8,196.1,63.97,-5.352,-2.663,4.0075,1.112867237,,93.35353928,93.35111292,93.33944
269.4,8.4,3.77,-4,12.47,31.83,-5.27,-1.598,3.434,0.971132898,89.75,95.93777001,95.675987,93.87564
401.4,2.84,2.38,-3.7,112.74,39.61,-6.328,-2.347,4.3375,0.668801809,93.1,92.98935573,92.98935573,90.7263
315.4,8.9,0.7,-1.8,59,32.79,-5.202,-1.526,3.364,0.989118607,,88.3468881,87.66365868,88.7714
324.4,-6,2.72,-3.73,60.85,35.14,-5.569,-1.932,3.7505,0.893456145,,87.17742456,86.62901427,90.06322
301.34,8.17,0.83,-1.1,70,30.77,-5.457,-1.506,3.4815,0.890534042,,90.47107143,90.41096719,89.4648
152.11,7.7,-1.7,-1.5,82.59,12.6,-6.411,-1.824,4.1175,0.628406366,,89.07204479,89.09279214,88.7705
460.4,3.27,-0.9,-3.14,201.85,43.22,-5.319,-3.063,4.191,1.245124113,,92.08221344,92.90056406,91.12898
339.4,5.9,3.08,-4.4,49.81,36.57,-5.647,-2.456,4.0515,0.924005014,91,91.1338535,91.1338535,91.2257
